,date,TMAX,TMIN,TAVG
208,2014-01-02,42.0,11.0,26.5
209,2014-01-03,62.0,25.0,43.5
210,2014-01-04,38.0,6.0,22.0
211,2014-01-05,12.0,-10.0,1.0
212,2014-01-06,34.0,-8.0,13.0
213,2014-01-07,42.0,22.0,32.0
214,2014-01-08,38.0,18.0,28.0
215,2014-01-09,47.0,17.0,32.0
216,2014-01-10,41.0,22.0,31.5
217,2014-01-11,57.0,19.0,38.0
218,2014-01-12,45.0,25.0,35.0
219,2014-01-13,48.0,24.0,36.0
220,2014-01-14,39.0,17.0,28.0
221,2014-01-15,55.0,19.0,37.0
222,2014-01-16,44.0,24.0,34.0
223,2014-01-17,55.0,20.0,37.5
224,2014-01-18,54.0,27.0,40.5
225,2014-01-19,65.0,35.0,50.0
226,2014-01-20,47.0,22.0,34.5
227,2014-01-21,63.0,25.0,44.0
228,2014-12-15,43.0,17.0,30.0
229,2014-12-16,33.0,13.0,23.0
230,2014-12-17,40.0,19.0,29.5
231,2014-12-18,44.0,22.0,33.0
232,2014-12-19,46.0,22.0,34.0
233,2014-12-20,49.0,21.0,35.0
234,2014-12-21,54.0,24.0,39.0
235,2014-12-22,37.0,25.0,31.0
236,2014-12-23,34.0,19.0,26.5
237,2014-12-24,52.0,16.0,34.0
238,2014-12-25,46.0,19.0,32.5
239,2014-12-26,20.0,8.0,14.0
240,2014-12-27,26.0,5.0,15.5
241,2014-12-28,40.0,6.0,23.0
242,2014-12-29,21.0,1.0,11.0
243,2014-12-30,1.0,-19.0,-9.0
244,2014-12-31,30.0,-13.0,8.5
245,2015-01-01,26.0,5.0,15.5
246,2015-01-02,35.0,11.0,23.0
247,2015-01-03,35.0,-5.0,15.0
248,2015-01-04,36.0,-10.0,13.0
249,2015-01-05,56.0,-5.0,25.5
250,2015-01-06,49.0,20.0,34.5
251,2015-01-07,39.0,14.0,26.5
252,2015-01-08,49.0,19.0,34.0
253,2015-01-09,29.0,15.0,22.0
254,2015-01-10,56.0,22.0,39.0
255,2015-01-11,40.0,27.0,33.5
256,2015-01-12,28.0,22.0,25.0
257,2015-01-13,32.0,22.0,27.0
258,2015-01-14,41.0,19.0,30.0
259,2015-01-15,55.0,23.0,39.0
260,2015-01-16,60.0,30.0,45.0
261,2015-01-17,54.0,35.0,44.5
262,2015-01-18,63.0,37.0,50.0
263,2015-01-19,58.0,31.0,44.5
264,2015-01-20,43.0,26.0,34.5
265,2015-01-21,30.0,16.0,23.0
266,2015-12-15,25.0,12.0,18.5
267,2015-12-16,28.0,11.0,19.5
268,2015-12-17,20.0,0.0,10.0
269,2015-12-18,48.0,11.0,29.5
270,2015-12-19,52.0,24.0,38.0
